antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Banana'}),frozenset({'Organic Avocado'}),0.2098,0.0793,0.02425,0.11558627264061011,1.457582252718917,1.0,0.0076128600000000025,1.0410286176232821,0.39728217050622716,0.0915612610911837,0.03941161359901175,0.21069351463051944
frozenset({'Organic Avocado'}),frozenset({'Banana'}),0.0793,0.2098,0.02425,0.30580075662042877,1.457582252718917,1.0,0.0076128600000000025,1.138289918256131,0.34097140342567694,0.0915612610911837,0.12148918833261045,0.21069351463051944
frozenset({'Organic Baby Spinach'}),frozenset({'Organic Avocado'}),0.10745,0.0793,0.0136,0.12657049790600278,1.5960970732156718,1.0,0.005079215,1.0541205647309535,0.4184322348064205,0.07854461449610164,0.05134191148691516,0.14903556421151337
frozenset({'Organic Avocado'}),frozenset({'Organic Baby Spinach'}),0.0793,0.10745,0.0136,0.17150063051702397,1.596097073215672,1.0,0.005079215,1.077309208523592,0.40563885215213485,0.07854461449610164,0.07176139209794853,0.14903556421151337
frozenset({'Organic Strawberries'}),frozenset({'Organic Avocado'}),0.1182,0.0793,0.0103,0.08714043993231811,1.098870617053192,1.0,0.0009267400000000005,1.0085888785912882,0.10203533372823027,0.05502136752136752,0.008515737951904113,0.1085134734340027
frozenset({'Organic Avocado'}),frozenset({'Organic Strawberries'}),0.0793,0.1182,0.0103,0.12988650693568726,1.0988706170531917,1.0,0.0009267400000000005,1.0134310144927536,0.09772429377816166,0.05502136752136752,0.013253013081976937,0.1085134734340027
frozenset({'Banana'}),frozenset({'Large Lemon'}),0.2098,0.06625,0.01805,0.08603431839847474,1.2986312211090525,1.0,0.00415075,1.0216466753585398,0.2910129698221496,0.06996124031007751,0.02118802505860748,0.17924357429357698
frozenset({'Large Lemon'}),frozenset({'Banana'}),0.06625,0.2098,0.01805,0.2724528301886792,1.2986312211090525,1.0,0.00415075,1.0861151452282158,0.2462741084374432,0.06996124031007751,0.07928730724965734,0.17924357429357698
frozenset({'Organic Baby Spinach'}),frozenset({'Large Lemon'}),0.10745,0.06625,0.0104,0.09678920428106096,1.4609691212235616,1.0,0.0032814374999999988,1.0338118238021639,0.3535071833941644,0.063686466625842,0.03270597513366635,0.1268851681782663
frozenset({'Large Lemon'}),frozenset({'Organic Baby Spinach'}),0.06625,0.10745,0.0104,0.15698113207547168,1.4609691212235614,1.0,0.0032814374999999988,1.0587544762757386,0.337909329626197,0.063686466625842,0.055493957846027314,0.1268851681782663
frozenset({'Organic Avocado'}),frozenset({'Large Lemon'}),0.0793,0.06625,0.0113,0.1424968474148802,2.1508958100359274,1.0,0.006046375,1.0889172794117647,0.5811637163335708,0.08417132216014897,0.08165659696372711,0.1565314425753646
frozenset({'Large Lemon'}),frozenset({'Organic Avocado'}),0.06625,0.0793,0.0113,0.17056603773584902,2.1508958100359274,1.0,0.006046375,1.1100341219290262,0.5730414282498727,0.08417132216014897,0.09912679237085807,0.1565314425753646
frozenset({'Organic Garlic'}),frozenset({'Organic Yellow Onion'}),0.0505,0.04905,0.0101,0.19999999999999998,4.077471967380224,1.0,0.007622974999999999,1.1886875,0.7948920484465507,0.11291224147568474,0.15873600084126396,0.20295616717635065
