product_name,support,category
Apple Honeycrisp Organic,0.03755,hero
Apples,0.0053,low
Asparagus,0.02735,promo
Asparation/Broccolini/Baby Broccoli,0.007,low
Baby Arugula,0.0053,low
Baby Cucumbers,0.0057,low
Baby Seedless Cucumbers,0.00465,low
Baby Spinach,0.01005,low
Bag of Organic Bananas,0.1604,hero
Banana,0.2098,hero
Bartlett Pears,0.0143,promo
Bicolor Sweet Corn,0.00465,low
Bing Cherries,0.0064,low
Black Plum,0.00365,low
Blackberries,0.0107,low
Blood Oranges,0.0047,low
Broccoli Crown,0.0177,promo
Brussels Sprouts,0.009,low
Bunched Cilantro,0.0197,promo
Bunny-Luv Fresh Organic Carrots,0.0044,low
Butternut Squash,0.0042,low
Cantaloupe,0.01045,low
Carrots,0.0333,promo
Celery Hearts,0.00545,low
Cherubs Heavenly Salad Tomatoes,0.0095,low
Clementines,0.01545,promo
"Clementines, Bag",0.01925,promo
Collard Greens,0.00515,low
Cucumber Kirby,0.04075,hero
"Dressing, Jersey Sweet Onion, Calorie Free",0.0037,low
English Seedless Cucumber,0.00545,low
European Cucumber,0.00795,low
"Flat Parsley, Bunch",0.00625,low
Fresh Cauliflower,0.03045,promo
Fresh Ginger Root,0.0115,promo
Gala Apples,0.0105,low
Garlic,0.01565,promo
Globe Eggplant,0.0083,low
Gold Potato,0.0036,low
Granny Smith Apples,0.01665,promo
Grape Tomatoes,0.00345,low
Grape White/Green Seedless,0.01565,promo
Green Beans,0.01195,promo
Green Bell Pepper,0.0257,promo
Green Onions,0.0116,promo
Green Seedless Grapes,0.00555,low
Hass Avocado,0.00845,low
Hass Avocados,0.02285,promo
Honeycrisp Apple,0.03375,promo
Honeycrisp Apples,0.00705,low
I Heart Baby Kale,0.00485,low
Iceberg Lettuce,0.00545,low
Jalapeno Peppers,0.0177,promo
Kale Greens,0.0056,low
Kiwi,0.0048,low
Large Grapefruit,0.0099,low
Large Greenhouse Tomato,0.0041,low
Large Lemon,0.06625,hero
Large Yellow Flesh Nectarine,0.0056,low
Lime,0.0054,low
Limes,0.06305,hero
Mandarin Oranges,0.0051,low
Medium Navel Orange,0.004,low
Michigan Organic Kale,0.03065,promo
Mint,0.00455,low
Orange Bell Pepper,0.0178,promo
Organic Avocado,0.0793,hero
