department,proportion
alcohol,0.004739952600473996
babies,0.013069869301306988
bakery,0.036279637203627965
beverages,0.08293917060829392
breakfast,0.02187978120218798
bulk,0.0010699893001069989
canned goods,0.03292967070329297
dairy eggs,0.16691833081669183
deli,0.03240967590324097
dry goods pasta,0.026719732802671974
frozen,0.06894931050689493
household,0.02276977230227698
international,0.008299917000829991
meat seafood,0.021859781402185977
missing,0.002129978700212998
other,0.001119988800111999
pantry,0.057829421705782945
personal care,0.013789862101378987
pets,0.003009969900300997
produce,0.2922570774292257
snacks,0.08902910970890292
